Rank,Team,Points,Previous Points,Rank Change,Confederation,Rank Date
49,Cameroon,24,27.2,€216.60m,CAF,
50,Chile,24,27.4,€28.60m,CONMEBOL,
51,Mali,24,25.1,€119.83m,CAF,
52,Tunisia,26,27.0,€53.20m,CAF,
53,Paraguay,28,27.8,€135.65m,CONMEBOL,
54,Costa Rica,24,24.9,€7.13m,CONCACAF,
55,Slovenia,23,28.1,€139.40m,UEFA,
56,Iraq,26,25.8,€10.50m,AFC,
57,South Africa,23,27.8,€32.30m,CAF,
58,Uzbekistan,25,27.7,€47.00m,AFC,
59,Saudi Arabia,25,27.1,€18.85m,AFC,
60,Republic of Ireland,23,25.6,€204.10m,UEFA,
61,Democratic Republic of the Congo,26,27.4,€99.00m,CAF,
62,Jamaica,27,27.3,€79.98m,CONCACAF,
63,United Arab Emirates,24,26.5,€35.95m,AFC,
64,Jordan,26,26.9,€14.58m,AFC,
65,Albania,25,27.6,€89.80m,UEFA,
66,Burkina Faso,29,25.9,€99.25m,CAF,
67,North Macedonia,27,27.5,€38.08m,UEFA,
68,Georgia,23,26.9,€196.75m,UEFA,
69,Finland,26,28.6,€38.75m,UEFA,
70,Iceland,23,26.3,€55.58m,UEFA,
71,Northern Ireland,27,25.2,€62.75m,UEFA,
72,Cape Verde,24,28.4,€41.50m,CAF,
73,Montenegro,27,28.5,€30.03m,UEFA,
74,Bosnia-Herzegovina,26,26.0,€97.80m,UEFA,
75,Honduras,25,28.6,€15.45m,CONCACAF,
76,Israel,25,26.3,€82.70m,UEFA,
77,Ghana,32,25.2,€203.10m,CAF,
78,Guinea,24,25.6,€76.93m,CAF,
79,Bolivia,32,24.4,€17.63m,CONMEBOL,
80,Oman,26,28.5,€7.73m,AFC,
81,Bahrain,26,29.7,€9.43m,AFC,
82,Bulgaria,26,27.2,€34.85m,UEFA,
83,El Salvador,26,27.1,€5.28m,CONCACAF,
84,Gabon,23,27.3,€31.73m,CAF,
85,Angola,25,27.4,€54.40m,CAF,
86,Haiti,21,27.6,€13.33m,CONCACAF,
87,Zambia,24,27.0,€11.88m,CAF,
88,Uganda,24,26.7,€4.10m,CAF,
89,New Zealand,24,27.4,€24.05m,OFC,
90,China,32,27.5,€13.50m,AFC,
91,Curaçao,23,27.1,€15.78m,CONCACAF,
92,Luxembourg,23,26.1,€28.20m,UEFA,
93,Equatorial Guinea,22,27.5,€22.03m,CAF,
94,Benin,24,26.0,€15.85m,CAF,
95,Syria,23,27.0,€8.03m,AFC,
96,Mozambique,25,28.5,€27.38m,CAF,
97,Thailand,26,26.8,€8.40m,AFC,
98,Belarus,26,28.2,€12.90m,UEFA,
99,Kosovo,24,26.9,€86.50m,UEFA,
100,Armenia,25,27.0,€42.38m,UEFA,
101,Palestine,26,28.3,€10.45m,AFC,
102,Trinidad and Tobago,23,28.3,€1.55m,CONCACAF,
103,Comoros,27,26.5,€23.95m,CAF,
104,Tajikistan,24,25.8,€8.98m,AFC,
105,Guatemala,28,27.1,€7.93m,CONCACAF,
106,Tanzania,19,26.1,€2.60m,CAF,
107,Kyrgyzstan,27,25.7,€7.15m,AFC,
108,Kenya,21,27.4,€24.98m,CAF,
109,Mauritania,25,27.0,€11.30m,CAF,
110,Kazakhstan,22,25.1,€3.63m,UEFA,
111,Namibia,24,28.0,€4.60m,CAF,
112,Lebanon,20,29.1,€4.93m,AFC,
113,Sudan,27,29.2,€1.73m,CAF,
114,Vietnam,26,27.4,€7.60m,AFC,
115,North Korea,24,25.8,€6.43m,AFC,
116,Madagascar,28,28.3,€7.78m,CAF,
117,Azerbaijan,24,26.7,€16.50m,UEFA,
118,Libya,25,27.6,€25k,CAF,
119,Togo,21,26.3,€27.90m,CAF,
120,Guinea-Bissau,30,27.5,€47.45m,CAF,
121,Zimbabwe,21,27.0,€25.53m,CAF,
122,Niger,28,27.0,€10.28m,CAF,
123,Estonia,26,26.3,€11.53m,UEFA,
124,Rwanda,27,26.0,€5.73m,CAF,
125,The Gambia,24,25.9,€56.45m,CAF,
126,India,23,27.0,€5.88m,AFC,
127,Indonesia,24,21.2,€3.70m,AFC,
128,Republic of the Congo,22,25.9,€15.40m,CAF,
129,Sierra Leone,23,27.1,€5.84m,CAF,
130,Cyprus,25,27.5,€21.15m,UEFA,
131,Malawi,24,26.0,€300k,CAF,
132,Malaysia,25,26.7,€3.78m,AFC,
133,Nicaragua,24,26.6,€3.45m,CONCACAF,
134,Kuwait,26,28.5,€5.83m,AFC,
135,Central African Republic,24,26.0,€11.23m,CAF,
136,Botswana,18,29.5,€1.20m,CAF,
137,Faroe Islands,23,28.5,€4.40m,UEFA,
138,Suriname,22,26.9,€23.95m,CONCACAF,
139,Burundi,30,26.2,€15.00m,CAF,
140,Latvia,25,26.4,€10.80m,UEFA,
141,Dominican Republic,23,25.6,€9.83m,CONCACAF,
142,Lithuania,26,26.4,€16.60m,UEFA,
143,Turkmenistan,25,29.4,€2.98m,AFC,
144,Saint Kitts and Nevis,22,27.1,€475k,CONCACAF,
145,Liberia,26,25.0,€19.80m,CAF,
146,Ethiopia,26,26.4,€450k,CAF,
147,Solomon Islands,23,25.5,€925k,OFC,
148,Fiji,23,28.3,€2.48m,OFC,
149,Lesotho,23,28.4,€625k,CAF,
150,Philippines,25,24.4,€2.95m,AFC,
151,Moldova,26,27.3,€15.58m,UEFA,
152,New Caledonia,22,27.3,-,OFC,
153,Tahiti,17,28.0,-,OFC,
154,Guyana,23,27.2,€5.05m,CONCACAF,
155,Hong Kong,20,29.4,€3.73m,AFC,
156,Afghanistan,22,26.4,€525k,AFC,
157,Puerto Rico,21,22.1,€475k,CONCACAF,
158,Yemen,27,24.6,€2.00m,AFC,
159,Eswatini,21,28.7,€450k,CAF,
160,Singapore,26,28.8,€2.98m,AFC,
161,Antigua and Barbuda,22,22.9,€175k,CONCACAF,
162,Maldives,22,28.4,€1.43m,AFC,
163,Cuba,21,23.5,€2.15m,CONCACAF,
164,Vanuatu,23,28.5,€650k,OFC,
165,Chinese Taipei,20,27.3,€2.10m,AFC,
166,Bermuda,23,26.3,€625k,CONCACAF,
167,Saint Lucia,24,27.4,€775k,CONCACAF,
168,Malta,26,27.4,€11.63m,UEFA,
169,Myanmar,25,26.0,€3.60m,AFC,
170,South Sudan,23,27.5,€975k,CAF,
171,Andorra,29,26.8,€3.69m,UEFA,
172,Papua New Guinea,25,28.5,-,OFC,
173,Saint Vincent and the Grenadines,25,26.5,€535k,CONCACAF,
174,Grenada,23,26.7,€1.73m,CONCACAF,
175,Nepal,25,25.7,€2.03m,AFC,
176,Chad,32,25.7,€4.38m,CAF,
177,Barbados,24,25.0,€550k,CONCACAF,
178,Belize,22,27.4,€325k,CONCACAF,
179,Mauritius,19,25.7,€675k,CAF,
180,Cambodia,26,25.8,€2.95m,AFC,
181,Montserrat,17,24.6,€450k,CONCACAF,
182,Bhutan,24,25.4,€1.03m,AFC,
183,Dominica,23,26.1,-,CONCACAF,
184,Brunei Darussalam,24,28.5,€1.01m,AFC,
185,Bangladesh,38,24.5,€9.20m,AFC,
186,Laos,26,23.3,€1.95m,AFC,
187,American Samoa,23,24.5,-,OFC,
188,Mongolia,20,24.8,€1.18m,AFC,
189,São Tomé and Príncipe,20,27.0,€760k,CAF,
190,Cook Islands,19,27.8,-,OFC,
191,Djibouti,23,27.9,-,CAF,
192,Samoa,24,23.6,€205k,OFC,
193,Macau,20,25.1,€280k,AFC,
194,Cayman Islands,24,25.2,€10k,CONCACAF,
195,Aruba,22,23.8,-,CONCACAF,
196,Gibraltar,25,26.8,€1.97m,UEFA,
197,Timor-Leste,26,23.3,€1.31m,AFC,
198,Pakistan,23,24.7,€1.43m,AFC,
199,Tonga,23,22.6,€10k,OFC,
200,Sri Lanka,24,26.6,€1.80m,AFC,
201,Seychelles,31,25.4,€60k,CAF,
202,Somalia,20,26.3,€775k,CAF,
203,Guam,20,23.2,€325k,AFC,
204,Liechtenstein,23,26.1,€800k,UEFA,
205,Bahamas,18,22.7,-,CONCACAF,
206,Turks and Caicos Islands,16,20.8,€75k,CONCACAF,
207,British Virgin Islands,20,22.0,-,CONCACAF,
208,United States Virgin Islands,20,24.7,-,CONCACAF,
209,Anguilla,22,24.2,-,CONCACAF,
210,San Marino,24,24.9,€1.08m,UEFA,
